Hotel	N	hotel	None	None	None	B-opinionTarget
was	V	wezen|zijn	None	None	None	O
zeer	G	zeer	None	None	intensifier	I-positiveExpression
goed	N	goed	None	None	positive	B-positiveExpression
gelegen	V	liggen	None	None	None	I-positiveExpression
.de	D	de	None	None	None	B-opinionTarget
hotelkamer	N	hotelkamer	None	room	None	I-opinionTarget
in	P	in	None	None	None	I-opinionTarget
de	D	de	None	None	None	I-opinionTarget
kelder	N	kelder	None	None	None	I-opinionTarget
was	V	wezen|zijn	None	None	None	B-negativeExpression
heel	A	heel	None	None	intensifier	I-negativeExpression
klein	G	klein	None	None	negative	I-negativeExpression
,bevatte	V	bevatten	None	None	None	B-negativeExpression
geen	D	geen	None	None	polarityShifter	I-negativeExpression
kast	N	kast	None	room	positive	I-negativeExpression
.Gordijnen	N	gordijn	None	room	None	B-opinionTarget
hingen	V	hangen	None	None	None	I-negativeExpression
half	G	half	None	None	None	I-negativeExpression
van	P	van	None	None	None	I-negativeExpression
de	D	de	None	None	None	I-negativeExpression
raam	N	raam	None	None	None	I-negativeExpression
.Inloopdouche	O	Inloopdouche	None	None	None	B-opinionTarget
zette	V	zetten	None	None	None	I-negativeExpression
heel	A	heel	None	None	None	I-negativeExpression
de	D	de	None	None	None	I-negativeExpression
badkamer	N	badkamer	None	bathroom	None	I-negativeExpression
onder	P	onder	None	None	negative	I-negativeExpression
water	N	water	None	bathroom	negative	I-negativeExpression
.Het	D	het	None	None	None	B-opinionTarget
ontbijt	N	ontbijt	None	restaurant	None	I-opinionTarget
was	V	wezen|zijn	None	None	None	B-negativeExpression
zeer	G	zeer	None	None	intensifier	I-negativeExpression
beperkt	V	beperken	None	None	negative	I-negativeExpression
.En	C	en	None	None	None	B-negativeExpression
elke	D	elk	None	None	None	I-negativeExpression
keer	N	keer	None	None	None	I-negativeExpression
stond	V	staan	None	None	None	I-negativeExpression
er	Q	er	None	None	None	I-negativeExpression
iemand	Q	iemand	None	None	None	I-negativeExpression
anderrs	O	anderrs	None	None	None	I-negativeExpression
achter	P	achter	None	None	None	I-negativeExpression
de	D	de	None	None	None	I-negativeExpression
balie	N	balie	None	staff	None	I-negativeExpression
,gevoel	N	gevoel	None	None	None	B-opinionTarget
van	P	van	None	None	None	I-opinionTarget
veligheid	O	veligheid	None	None	None	I-opinionTarget
was	V	wezen|zijn	None	None	None	O
zeer	G	zeer	None	None	intensifier	B-negativeExpression
beperkt	V	beperken	None	None	negative	I-negativeExpression
.	O	.	None	None	None	O

Er	Q	er	None	None	None	B-negativeExpression
lag	V	liggen	None	None	None	I-negativeExpression
veel	O	veel	None	None	None	I-negativeExpression
materiaal	N	materiaal	None	None	None	I-negativeExpression
op	P	op	None	None	None	I-negativeExpression
de	D	de	None	None	None	I-negativeExpression
gang	N	gang	None	None	None	I-negativeExpression
dat	Q	dat	None	None	None	I-negativeExpression
er	Q	er	None	None	None	I-negativeExpression
niet	A	niet	None	None	None	I-negativeExpression
thuis	A	thuis	None	None	None	I-negativeExpression
hoorde	V	horen	None	None	None	I-negativeExpression
.	O	.	None	None	None	O

Aanrader	N	aanrader	None	None	positive	B-positiveExpression
.Goed	N	goed	None	None	positive	B-positiveExpression
2	O	@card@	None	None	None	B-opinionTarget
-sterren	O	-sterren	None	None	None	I-opinionTarget
hotel	N	hotel	None	None	None	I-opinionTarget
.	O	.	None	None	None	O

Geen	D	geen	None	None	polarityShifter	B-positiveExpression
overbodige	G	overbodig	None	None	negative	I-positiveExpression
luxe	G	luxe	None	None	positive	I-positiveExpression
maar	C	maar	None	None	None	O
gewoon	G	gewoon	None	None	None	B-positiveExpression
zoals	C	zoals	None	None	None	I-positiveExpression
het	Q	het	None	None	None	I-positiveExpression
hoort	V	horen	None	None	None	I-positiveExpression
.Nette	G	net	None	cleanliness	positive	B-positiveExpression
en	C	en	None	None	None	O
schone	G	schoon	None	cleanliness	positive	B-positiveExpression
kamers	N	kamer	None	room	None	B-opinionTarget
/	O	/	None	None	None	O
badkamers	N	badkamer	None	bathroom	None	B-opinionTarget
