Our	Q	our	None	None	None	O
family	N	family	None	None	None	O
of	P	of	None	None	None	O
5	O	5	None	None	None	O
was	V	be	None	None	None	O
very	A	very	None	None	None	O
excited	V	excite	None	None	None	O
to	O	to	None	None	None	O
stay	V	stay	None	None	None	O
in	P	in	None	None	None	O
what	Q	what	None	None	None	O
we	Q	we	None	None	None	O
thought	V	think	None	None	None	O
would	V	would	None	None	None	O
be	V	be	None	None	None	O
an	D	an	None	None	None	O
interesting	G	interesting	None	None	None	O
hotel	N	hotel	None	None	None	O
and	C	and	None	None	None	O
came	V	come	None	None	None	O
home	N	home	None	None	None	O
with	P	with	None	None	None	O
bed	N	bed	None	sleeping_comfort	None	O
bugs	N	bug	None	None	None	O
!	O	!	None	None	None	O

My	Q	my	None	None	None	O
husband	N	husband	None	None	None	O
was	V	be	None	None	None	O
covered	V	cover	None	None	None	O
with	P	with	None	None	None	O
bites	N	bite	None	None	None	O
from	P	from	None	None	None	O
head	N	head	None	None	None	O
to	O	to	None	None	None	O
toe	N	toe	None	None	None	O
and	C	and	None	None	None	O
our	Q	our	None	None	None	O
daughters	N	daughter	None	None	None	O
had	V	have	None	None	None	O
bites	N	bite	None	None	None	O
on	P	on	None	None	None	O
their	Q	their	None	None	None	O
legs	N	leg	None	None	None	O
.	O	.	None	None	None	O

And	C	and	None	None	None	O
we	Q	we	None	None	None	O
apparently	A	apparently	None	None	None	O
brought	V	bring	None	None	None	O
them	Q	them	None	None	None	O
home	N	home	None	None	None	O
with	P	with	None	None	None	O
us	Q	us	None	None	None	O
.	O	.	None	None	None	O

I	Q	I	None	None	None	O
contacted	V	contact	None	None	None	O
the	D	the	None	None	None	O
hotel	N	hotel	None	None	None	O
and	C	and	None	None	None	O
they	Q	they	None	None	None	O
don	V	don	None	None	None	O
't	O	't	None	None	None	O
care	N	care	None	None	None	O
and	C	and	None	None	None	O
are	V	be	None	None	None	O
letting	V	let	None	None	None	O
other	G	other	None	None	None	O
people	N	people	None	None	None	O
sleep	V	sleep	None	room	None	O
here	A	here	None	None	None	O
.	O	.	None	None	None	O

Stay	V	stay	None	None	None	O
away	A	away	None	None	None	O
people	N	people	None	None	None	O
!	O	!	None	None	None	O

I	Q	I	None	None	None	O
don	V	don	None	None	None	O
't	O	't	None	None	None	O
want	V	want	None	None	None	O
you	Q	you	None	None	None	O
to	O	to	None	None	None	O
go	V	go	None	None	None	O
through	P	through	None	None	None	O
what	Q	what	None	None	None	O
our	Q	our	None	None	None	O
family	N	family	None	None	None	O
went	V	go	None	None	None	O
through	O	through	None	None	None	O
.	O	.	None	None	None	O

We	Q	we	None	None	None	O
paid	V	pay	None	value_for_money	None	O
a	D	a	None	None	None	O
lot	N	lot	None	None	None	O
of	P	of	None	None	None	O
money	N	money	None	value_for_money	None	O
to	O	to	None	None	None	O
stay	V	stay	None	None	None	O
in	P	in	None	None	None	O
this	D	this	None	None	None	O
hotel	N	hotel	None	None	None	O
and	C	and	None	None	None	O
ended	V	end	None	None	None	O
up	O	up	None	None	None	O
with	P	with	None	None	None	O
bedbugs	N	bedbug	None	None	None	O
!	O	!	None	None	None	O

The	D	the	None	None	None	B-opinionTarget
staff	N	staff	None	staff	None	I-opinionTarget
were	V	be	None	None	None	O
pleasant	G	pleasant	None	None	positive	B-positiveExpression
and	C	and	None	None	None	O
on	P	on	None	None	positive	B-positiveExpression
hand	N	hand	None	None	positive	I-positiveExpression
whenever	A	whenever	None	None	positive	I-positiveExpression
needed	V	need	None	None	positive	I-positiveExpression
,	O	,	None	None	None	O
giving	V	give	None	None	None	B-positiveExpression
help	N	help	None	staff	positive	I-positiveExpression
and	C	and	None	None	None	I-positiveExpression
advice	N	advice	None	None	positive	I-positiveExpression
for	P	for	None	None	None	I-positiveExpression
all	D	all	None	None	None	I-positiveExpression
aspects	N	aspect	None	None	None	I-positiveExpression
of	P	of	None	None	None	I-positiveExpression
our	Q	our	None	None	None	I-positiveExpression
stay	N	stay	None	None	None	I-positiveExpression
.	O	.	None	None	None	O

The	D	the	None	None	None	B-opinionTarget
room	N	room	None	room	None	I-opinionTarget
was	V	be	None	None	None	O
adequate	G	adequate	None	None	positive	B-positiveExpression
in	P	in	None	None	positive	I-positiveExpression
size	N	size	None	None	positive	I-positiveExpression
for	P	for	None	None	None	I-positiveExpression
our	Q	our	None	None	None	I-positiveExpression
2	O	2	None	None	None	I-positiveExpression
night	N	night	None	None	None	I-positiveExpression
stay	N	stay	None	None	None	I-positiveExpression
and	C	and	None	None	None	O
very	A	very	None	None	intensifier	B-positiveExpression
clean	G	clean	None	cleanliness	positive	I-positiveExpression
.The	O	.The	None	None	None	B-opinionTarget
location	N	location	None	location	None	I-opinionTarget
was	V	be	None	None	None	O
perfect	G	perfect	None	None	positive	B-positiveExpression
with	P	with	None	None	None	B-positiveExpression
the	D	the	None	None	None	I-positiveExpression
tram	N	tram	None	facilities	None	I-positiveExpression
stop	N	stop	None	None	None	I-positiveExpression
on	P	on	None	None	positive	I-positiveExpression
the	D	the	None	None	positive	I-positiveExpression
doorstep	N	doorstep	None	None	positive	I-positiveExpression
,	O	,	None	None	None	O
and	C	and	None	None	None	O
only	A	only	None	None	None	B-positiveExpression
a	D	a	None	None	positive	I-positiveExpression
short	G	short	None	None	positive	I-positiveExpression
walk	N	walk	None	None	positive	I-positiveExpression
to	O	to	None	None	None	I-positiveExpression
the	D	the	None	None	None	I-positiveExpression
popular	G	popular	None	None	positive	I-positiveExpression
Rembrandtsplein	O	Rembrandtsplein	location	None	None	I-positiveExpression
.	O	.	None	None	None	O

Plenty	N	plenty	None	None	positive	B-positiveExpression
of	P	of	None	None	None	O
bars	N	bar	None	restaurant	None	B-opinionTarget
,	O	,	None	None	None	O
cafes	N	cafe	None	facilities	None	B-opinionTarget
and	C	and	None	None	None	O
restaurants	N	restaurant	None	restaurant	None	B-opinionTarget
.	O	.	None	None	None	O

Would	V	Would	None	None	None	B-positiveExpression
certainly	A	certainly	None	None	intensifier	I-positiveExpression
stay	V	stay	None	None	None	I-positiveExpression
